id,row,group,date,home,away,actualHome,actualAway,status,sourceStatus,sourceTitle,sourceUrl
1,12,A,22:00 - 11/6,מקסיקו,דרום אפריקה,2,0,verified,,Mexico 2-0 South Africa | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report
2,13,A,05:00 - 12/6,דרום קוריאה,צ'כיה,2,1,verified,,Korea Republic 2-1 Czechia | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/korea-republic-czechia-highlights-match-report
3,14,A,19:00 - 18/6,צ'כיה,דרום אפריקה,1,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760438
4,15,A,04:00 - 19/6,מקסיקו,דרום קוריאה,1,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760441
5,16,A,04:00 - 25/6,דרום אפריקה,דרום קוריאה,1,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760466
6,17,A,04:00 - 25/6,צ'כיה,מקסיקו,0,3,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760467
7,22,B,22:00 - 12/6,קנדה,בוסניה,1,1,verified,,Canada 1-1 Bosnia and Herzegovina | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/canada-bosnia-and-herzegovina-highlights-match-report
8,23,B,22:00 - 13/6,קטאר,שווייץ,1,1,verified,,Qatar 1-1 Switzerland | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/qatar-switzerland-highlights-match-report
9,24,B,22:00 - 18/6,שווייץ,בוסניה,4,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760439
10,25,B,01:00 - 19/6,קנדה,קטאר,6,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760440
11,26,B,22:00 - 24/6,שווייץ,קנדה,2,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760463
12,27,B,22:00 - 24/6,בוסניה,קטאר,3,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760462
13,32,C,01:00 - 14/6,ברזיל,מרוקו,1,1,verified,,Brazil 1-1 Morocco | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/brazil-morocco-highlights-match-report
14,33,C,04:00 - 14/6,האיטי,סקוטלנד,0,1,verified,,"Scots edge Haiti as Morocco, Qatar earn battling draws | FIFA",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/matchday-3-round-up-review-highlights
15,34,C,01:00 - 20/6,סקוטלנד,מרוקו,0,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760445
16,35,C,03:30 - 20/6,ברזיל,האיטי,3,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760444
17,36,C,01:00 - 25/6,סקוטלנד,ברזיל,0,3,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760465
18,37,C,01:00 - 25/6,מרוקו,האיטי,4,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760464
19,42,D,04:00 - 13/6,"ארה""ב",פרגוואי,4,1,verified,,USA 4-1 Paraguay | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/usa-paraguay-highlights-match-report
20,43,D,07:00 - 14/6,אוסטרליה,טורקיה,2,0,verified,,Australia 2-0 Türkiye | FIFA Match Centre,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463
21,44,D,22:00 - 19/6,"ארה""ב",אוסטרליה,2,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760442
22,45,D,06:00 - 20/6,טורקיה,פרגוואי,0,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760443
23,46,D,05:00 - 26/6,פרגוואי,אוסטרליה,0,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760469
24,47,D,05:00 - 26/6,טורקיה,"ארה""ב",3,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760470
25,52,E,20:00 - 14/6,גרמניה,קורסאו,7,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760422
26,53,E,02:00 - 15/6,חוף השנהב,אקוואדור,1,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760423
27,54,E,23:00 - 20/6,גרמניה,חוף השנהב,2,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760448
28,55,E,03:00 - 21/6,אקוואדור,קורסאו,0,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760446
29,56,E,23:00 - 25/6,אקוואדור,גרמניה,2,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760468
30,57,E,23:00 - 25/6,קורסאו,חוף השנהב,0,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760473
31,62,F,23:00 - 14/6,הולנד,יפן,2,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760425
32,63,F,05:00 - 15/6,שבדיה,טוניסיה,5,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760424
33,64,F,22:00 - 20/6,הולנד,שבדיה,5,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760447
34,65,F,07:00 - 21/6,טוניסיה,יפן,0,4,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760449
35,66,F,02:00 - 26/6,טוניסיה,הולנד,1,3,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760472
36,67,F,02:00 - 26/6,יפן,שבדיה,1,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760471
37,72,G,22:00 - 15/6,בלגיה,מצרים,1,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760426
38,73,G,04:00 - 16/6,איראן,ניו זילנד,2,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760427
39,74,G,22:00 - 21/6,בלגיה,איראן,0,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760451
40,75,G,04:00 - 22/6,ניו זילנד,מצרים,1,3,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760452
41,76,G,06:00 - 27/6,מצרים,איראן,,,pending,,,
42,77,G,06:00 - 27/6,ניו זילנד,בלגיה,,,pending,,,
43,82,H,19:00 - 15/6,ספרד,קייפ ורדה,0,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760428
44,83,H,01:00 - 16/6,ערב הסעודית,אורוגוואי,1,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760429
45,84,H,19:00 - 21/6,ספרד,ערב הסעודית,4,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760453
46,85,H,01:00 - 22/6,אורוגוואי,קייפ ורדה,2,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760450
47,86,H,03:00 - 27/6,אורוגוואי,ספרד,0,1,live,live_espn,ESPN live scoreboard,https://www.espn.com/soccer/match/_/gameId/760479
48,87,H,03:00 - 27/6,קייפ ורדה,ערב הסעודית,0,0,live,live_espn,ESPN live scoreboard,https://www.espn.com/soccer/match/_/gameId/760478
49,92,I,22:00 - 16/6,צרפת,סנגל,3,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760432
50,93,I,01:00 - 17/6,עירק,נורווגיה,1,4,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760430
51,94,I,00:00 - 23/6,צרפת,עירק,3,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760457
52,95,I,03:00 - 23/6,נורווגיה,סנגל,3,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760454
53,96,I,22:00 - 26/6,נורווגיה,צרפת,1,4,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760475
54,97,I,22:00 - 26/6,סנגל,עירק,5,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760474
55,102,J,04:00 - 17/6,ארגנטינה,אלג'יריה,3,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760433
56,103,J,07:00 - 17/6,אוסטריה,ירדן,3,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760431
57,104,J,20:00 - 22/6,ארגנטינה,אוסטריה,2,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760456
58,105,J,06:00 - 23/6,ירדן,אלג'יריה,1,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760455
59,106,J,05:00 - 28/6,אלג'יריה,אוסטריה,,,pending,,,
60,107,J,05:00 - 28/6,ירדן,ארגנטינה,,,pending,,,
61,112,K,20:00 - 17/6,פורטוגל,קונגו,1,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760435
62,113,K,05:00 - 18/6,אוזבקיסטן,קולומביה,1,3,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760436
63,114,K,20:00 - 23/6,פורטוגל,אוזבקיסטן,5,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760461
64,115,K,05:00 - 24/6,קולומביה,קונגו,1,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760459
65,116,K,02:30 - 28/6,קולומביה,פורטוגל,,,pending,,,
66,117,K,02:30 - 28/6,קונגו,אוזבקיסטן,,,pending,,,
67,122,L,23:00 - 17/6,אנגליה,קרואטיה,4,2,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760437
68,123,L,02:00 - 18/6,גאנה,פנמה,1,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760434
69,124,L,23:00 - 23/6,אנגליה,גאנה,0,0,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760458
70,125,L,02:00 - 24/6,פנמה,קרואטיה,0,1,verified,verified_espn_final,ESPN final scoreboard,https://www.espn.com/soccer/match/_/gameId/760460
71,126,L,00:00 - 28/6,קרואטיה,גאנה,,,pending,,,
72,127,L,00:00 - 28/6,פנמה,אנגליה,,,pending,,,
