type,title,url,note
לוח משחקים,"FIFA World Cup 2026 match schedule, fixtures and results",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,מקור FIFA רשמי ללוח המשחקים
תוצאת משחק,Mexico 2-0 South Africa | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report,מקסיקו - דרום אפריקה
תוצאת משחק,Korea Republic 2-1 Czechia | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/korea-republic-czechia-highlights-match-report,דרום קוריאה - צ'כיה
תוצאת משחק,Canada 1-1 Bosnia and Herzegovina | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/canada-bosnia-and-herzegovina-highlights-match-report,קנדה - בוסניה
תוצאת משחק,Qatar 1-1 Switzerland | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/qatar-switzerland-highlights-match-report,קטאר - שווייץ
תוצאת משחק,Brazil 1-1 Morocco | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/brazil-morocco-highlights-match-report,ברזיל - מרוקו
תוצאת משחק,USA 4-1 Paraguay | Match report and highlights,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/usa-paraguay-highlights-match-report,"ארה""ב - פרגוואי"
תוצאת משחק,Australia 2-0 Türkiye | FIFA Match Centre,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,אוסטרליה - טורקיה
שאלה פתוחה - מקור חיצוני,AP: Cyle Larin scored two minutes after entering as a substitute,https://apnews.com/article/c58d5a51d827dd0456fe56e65eca1518,שאלה 116 / שורה 480 - שער של מחליף בתוך 2 דקות מרגע כניסתו
שאלה פתוחה - מקור חיצוני,The Guardian: Larin replaced Tani Oluwaseyi on 76 minutes and scored two minutes later,https://www.theguardian.com/football/live/2026/jun/13/world-cup-2026-usa-light-up-la-englands-boots-stolen-scotlands-big-return-live,מקור גיבוי לשאלה 116 / שורה 480
תוצאת משחק,"Scots edge Haiti as Morocco, Qatar earn battling draws | FIFA",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/matchday-3-round-up-review-highlights,האיטי - סקוטלנד 0-1
שאלה פתוחה - קובץ מעודכן,קובץ תוצאות משחקי היום השני - 12.6.26.xlsx,,שורה 443 - הכרטיס האדום הכי מאוחר בטורניר: תוספת הזמן
משחקים - FIFA,FIFA official live score,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,גרמניה - קורסאו 4-1 (live)
משחקים - FIFA,FIFA official live score,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,חוף השנהב - אקוואדור 4-1 (live)
משחקים - FIFA,FIFA official live score,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,גרמניה - חוף השנהב 4-1 (live)
משחקים - FIFA,FIFA official final result,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,אקוואדור - גרמניה 4-1 (verified)
משחקים - FIFA,FIFA official final result,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,הולנד - יפן 3-2 (verified)
משחקים - FIFA,ESPN live score - temporary,https://www.espn.com/soccer/match/_/gameId/760422,גרמניה - קורסאו 6-1 (live)
משחקים - FIFA,ESPN full-time score - final fallback,https://www.espn.com/soccer/match/_/gameId/760422/curacao-germany,גרמניה - קורסאו 7-1 (verified)
משחקים - FIFA,ESPN live score - temporary,https://www.espn.com/soccer/match/_/gameId/760425,הולנד - יפן 0-0 (live)
